Attack Coverage Report

Total attacks in ATTACK_LOG: 856
Overrides entries: 553

Per-attack summary (ATTACK_LOG order):
- Move: Status | Notes
- ------: -------- | -------
- Absorb: done | Heals half the damage dealt and logs the absorption event. | override: Heals half the damage dealt and logs the absorption event. | override_status: done
- Baton Pass: done | Switches with an ally, transferring combat stages and coats. | override: Switches with an ally, transferring combat stages and coats. | override_status: done
- Beak Blast: done | Declares a setup; burns melee attackers, then shifts and attacks at end of round. | override: Declares a setup; burns melee attackers, then shifts and attacks at end of round. | override_status: done
- Beat Up: done | Triggers adjacent allies to make Struggle attacks after the hit. | override: Triggers adjacent allies to make Struggle attacks after the hit. | override_status: done
- Behemoth Bash: done | DB increases by +2 per positive CS on the target, up to DB 20. | override: DB increases by +2 per positive CS on the target, up to DB 20. | override_status: done
- Behemoth Blade: done | DB increases by +2 per positive CS on the target, up to DB 20. | override: DB increases by +2 per positive CS on the target, up to DB 20. | override_status: done
- Belch: done | Requires trading a Digestion/Food Buff earlier in the scene. | override: Requires trading a Digestion/Food Buff earlier in the scene. | override_status: done
- Belly Drum: done | Cuts the user's HP to about 50% and raises Attack to +6 CS. | override: Cuts the user's HP to about 50% and raises Attack to +6 CS. | override_status: done
- Bestow: done | Transfers the user's held item or uses it on the target. | override: Transfers the user's held item or uses it on the target. | override_status: done
- Bide: done | Stores damage taken, then releases it to adjacent foes. | override: Stores damage taken, then releases it to adjacent foes. | override_status: done
- Bind: done | Applies Bind/Grappled/Trapped for 3 activations with tick damage. | override: Applies Bind/Grappled/Trapped for 3 activations with tick damage. | override_status: done
- Bite: done | Flinches the target on a 30% roll. | override: Flinches the target on a 30% roll. | override_status: done
- Bitter Malice: done | Lowers the target's Attack by -1 CS for 5 activations. | override: Lowers the target's Attack by -1 CS for 5 activations. | override_status: done
- Blast Burn: done | Applies the Exhaust penalty for the following turn. | override: Applies the Exhaust penalty for the following turn. | override_status: done
- Blaze Kick: done | Burns the target on a 10% roll. | override: Burns the target on a 10% roll. | override_status: done
- Bleakwind Storm: done | Flinches on 15+ and freezes on 19+. | override: Flinches on 15+ and freezes on 19+. | override_status: done
- Bleed!: done | Applies Bleed for 3 turns, ticking damage each turn. | override: Applies Bleed for 3 turns, ticking damage each turn. | override_status: done
- Blind: done | Stealth contest can inflict Blinded for 1 activation. | override: Stealth contest can inflict Blinded for 1 activation. | override_status: done
- Blizzard: done | Freezes on 15+ and cannot miss during hail. | override: Freezes on 15+ and cannot miss during hail. | override_status: done
- Block: done | Leaves the target Stuck and Trapped until the user's next turn. | override: Leaves the target Stuck and Trapped until the user's next turn. | override_status: done
- Blue Flare: done | Burns on 17+. | override: Burns on 17+. | override_status: done
- Body Press: done | Uses the user's Defense for damage calculation. | override: Uses the user's Defense for damage calculation. | override_status: done
- Body Slam: done | Paralyzes the target on rolls of 15+. | override: Paralyzes the target on rolls of 15+. | override_status: done
- Bolt Beak: done | Deals +10 damage against lower-initiative targets that have not acted. | override: Deals +10 damage against lower-initiative targets that have not acted. | override_status: done
- Bolt Strike: done | Status tracking already implemented in battle hooks. | override: Status tracking already implemented in battle hooks. | override_status: done
- Bon Mot: done | Guile contest enrages the target and blocks AP-spend (At-Will only) for 1 round. | override: Guile contest enrages the target and blocks AP-spend (At-Will only) for 1 round. | override_status: done
- Bone Club: done | Flinches the target on rolls of 18+. | override: Flinches the target on rolls of 18+. | override_status: done
- Bone Rush: done | Five Strike handling already covers the multi-hit behavior. | override: Five Strike handling already covers the multi-hit behavior. | override_status: done
- Bonemerang: done | Strike handling already covers the multi-hit behavior. | override: Strike handling already covers the multi-hit behavior. | override_status: done
- Boomburst: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Bounce: done | Applies Vulnerable and paralyzes on rolls of 16+. | override: Applies Vulnerable and paralyzes on rolls of 16+. | override_status: done
- Branch Poke: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Brave Bird: done | Recoil handling already covers the user damage. | override: Recoil handling already covers the user damage. | override_status: done
- Breaking Swipe: done | Lowers the target's Attack by -1 CS. | override: Lowers the target's Attack by -1 CS. | override_status: done
- Brick Break: done | Shatters Reflect and Light Screen on hit. | override: Shatters Reflect and Light Screen on hit. | override_status: done
- Brine: done | DB increases to 13 when the target is at or below half HP. | override: DB increases to 13 when the target is at or below half HP. | override_status: done
- Brutal Swing: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Bubble: done | Lowers Speed by -1 CS on 16+ rolls. | override: Lowers Speed by -1 CS on 16+ rolls. | override_status: done
- Bubblebeam: done | Lowers Speed by -1 CS on 18+ rolls. | override: Lowers Speed by -1 CS on 18+ rolls. | override_status: done
- Bug Bite: done | Steals a food buff from the target. | override: Steals a food buff from the target. | override_status: done
- Bug Buzz: done | Special move resolution already handles its effects. | override: Special move resolution already handles its effects. | override_status: done
- Bulk Up: done | Raises Attack and Defense by +1 CS. | override: Raises Attack and Defense by +1 CS. | override_status: done
- Bulldoze: done | Lowers Speed by -1 CS on each hit target. | override: Lowers Speed by -1 CS on each hit target. | override_status: done
- Bullet Punch: done | Logs the priority attack so the 1st-strike effect is recorded. | override: Logs the priority attack so the 1st-strike effect is recorded. | override_status: done
- Bullet Seed: done | Five Strike handling already covers the multi-hit behavior. | override: Five Strike handling already covers the multi-hit behavior. | override_status: done
- Bullseye: done | Critical hit threshold lowered to 16+ when the attack lands. | override: Critical hit threshold lowered to 16+ when the attack lands. | override_status: done
- Burn Up: done | Removes the user's Fire typing after resolving. | override: Removes the user's Fire typing after resolving. | override_status: done
- Burning Jealousy: done | Burns nearby foes with raised combat stages once per scene. | override: Burns nearby foes with raised combat stages once per scene. | override_status: done
- Calm Mind: done | Raises Special Attack and Special Defense by +1 CS. | override: Raises Special Attack and Special Defense by +1 CS. | override_status: done
- Camouflage: done | Changes the user's type to match weather-based terrain defaults. | override: Changes the user's type to match weather-based terrain defaults. | override_status: done
- Captivate: done | Lowers Special Attack by -2 CS against opposite-gender targets. | override: Lowers Special Attack by -2 CS against opposite-gender targets. | override_status: done
- Ceaseless Edge: done | Crits on 19+ and applies a Vortex trap with tick damage. | override: Crits on 19+ and applies a Vortex trap with tick damage. | override_status: done
- Charge: done | Raises Special Defense by +1 CS and boosts the next Electric attack. | override: Raises Special Defense by +1 CS and boosts the next Electric attack. | override_status: done
- Charge Beam: done | On hit, rolls 1d20 and raises the user's Special Attack by +1 CS on 7+. | override: On hit, rolls 1d20 and raises the user's Special Attack by +1 CS on 7+. | override_status: done
- Charm: done | Lowers the target's Attack by -2 CS. | override: Lowers the target's Attack by -2 CS. | override_status: done
- Chatter: done | Confuses targets on 16+ rolls. | override: Confuses targets on 16+ rolls. | override_status: done
- Cheap Shot: done | Priority strike handled by existing hooks. | override: Priority strike handled by existing hooks. | override_status: done
- Chip Away: done | Ignores defense stages and damage reduction for this attack. | override: Ignores defense stages and damage reduction for this attack. | override_status: done
- Chloroblast: done | Recoil handling already covers the user damage. | override: Recoil handling already covers the user damage. | override_status: done
- Circle Throw: done | Forced movement handling already covers the push effect. | override: Forced movement handling already covers the push effect. | override_status: done
- Clamp: done | Grants grapple contest bonuses and deals a tick on gaining dominance. | override: Grants grapple contest bonuses and deals a tick on gaining dominance. | override_status: done
- Clanging Scales: done | Adds half Defense to damage and lowers the user's Defense by -1 CS. | override: Adds half Defense to damage and lowers the user's Defense by -1 CS. | override_status: done
- Clangorous Soul: done | Costs 1/3 max HP and raises all combat stages by +1 CS. | override: Costs 1/3 max HP and raises all combat stages by +1 CS. | override_status: done
- Clear Smog: done | Resets the target's combat stages after hit. | override: Resets the target's combat stages after hit. | override_status: done
- Close Combat: done | Lowers the user's Defense and Special Defense by -1 CS after damage. | override: Lowers the user's Defense and Special Defense by -1 CS after damage. | override_status: done
- Coaching: done | Raises the user's and nearby allies' Attack and Defense by +1 CS. | override: Raises the user's and nearby allies' Attack and Defense by +1 CS. | override_status: done
- Coil: done | Raises Attack, Defense, and Accuracy by +1 CS. | override: Raises Attack, Defense, and Accuracy by +1 CS. | override_status: done
- Comet Punch: done | Five Strike handling already covers the multi-hit behavior. | override: Five Strike handling already covers the multi-hit behavior. | override_status: done
- Cone of Force: done | Area resolution already covers the cone effect. | override: Area resolution already covers the cone effect. | override_status: done
- Confide: done | Lowers the target's Special Attack by -1 CS. | override: Lowers the target's Special Attack by -1 CS. | override_status: done
- Confuse Ray: done | Inflicts Confused. | override: Inflicts Confused. | override_status: done
- Confusion: done | Confuses the target on 19+ rolls. | override: Confuses the target on 19+ rolls. | override_status: done
- Constrict: done | Lowers Speed by -1 CS and allows swift use while grappling. | override: Lowers Speed by -1 CS and allows swift use while grappling. | override_status: done
- Conversion: done | Changes the user's type to a known move's elemental type. | override: Changes the user's type to a known move's elemental type. | override_status: done
- Conversion2: done | Changes the user's type to a move type that resists the last damage taken. | override: Changes the user's type to a move type that resists the last damage taken. | override_status: done
- Copycat: done | Copycat resolves the target's last move. | override: Copycat resolves the target's last move. | override_status: done
- Core Enforcer: done | Disables a chosen target ability until the end of the encounter. | override: Disables a chosen target ability until the end of the encounter. | override_status: done
- Corrosive Gas: done | Disables held items for the scene and suppresses Steel's poison immunity. | override: Disables held items for the scene and suppresses Steel's poison immunity. | override_status: done
- Cosmic Power: done | Raises Defense and Special Defense by +1 CS. | override: Raises Defense and Special Defense by +1 CS. | override_status: done
- Cotton Guard: done | Raises Defense by +3 CS. | override: Raises Defense by +3 CS. | override_status: done
- Cotton Spore: done | Lowers Speed by -2 CS. | override: Lowers Speed by -2 CS. | override_status: done
- Counter: done | Counter logic already implemented with damage reflection. | override: Counter logic already implemented with damage reflection. | override_status: done
- Court Change: done | Swaps hazards across the field and swaps team blessings. | override: Swaps hazards across the field and swaps team blessings. | override_status: done
- Covet: done | Steals a held item if the user isn't holding one. | override: Steals a held item if the user isn't holding one. | override_status: done
- Crabhammer: done | Critical hit threshold lowered to 18+. | override: Critical hit threshold lowered to 18+. | override_status: done
- Crafty Shield: done | Blocks incoming status moves for nearby allies as an interrupt. | override: Blocks incoming status moves for nearby allies as an interrupt. | override_status: done
- Cross Chop: done | Critical hit threshold lowered to 16+. | override: Critical hit threshold lowered to 16+. | override_status: done
- Cross Poison: done | Critical hit threshold lowered to 18+ and poisons on 19+. | override: Critical hit threshold lowered to 18+ and poisons on 19+. | override_status: done
- Crunch: done | Lowers Defense by -1 CS on 17+. | override: Lowers Defense by -1 CS on 17+. | override_status: done
- Crush Claw: done | Lowers Defense by -1 CS on even-numbered rolls. | override: Lowers Defense by -1 CS on even-numbered rolls. | override_status: done
- Crush Grip: done | Damage base scales down by 1 per 10% missing HP on the target. | override: Damage base scales down by 1 per 10% missing HP on the target. | override_status: done
- Curse: done | Ghost users lose 1/3 max HP to curse a target; non-ghosts raise Attack/Defense and lower Speed. | override: Ghost users lose 1/3 max HP to curse a target; non-ghosts raise Attack/Defense and lower Speed. | override_status: done
- Cut: done | Ignores up to 5 damage reduction. | override: Ignores up to 5 damage reduction. | override_status: done
- Dark Pulse: done | Flinches the target on 17+. | override: Flinches the target on 17+. | override_status: done
- Dark Void: done | Puts the target to sleep. | override: Puts the target to sleep. | override_status: done
- Dark Void [SM]: done | Puts the target to sleep. | override: Puts the target to sleep. | override_status: done
- Darkest Lariat: done | Ignores positive Defense stages and damage reduction. | override: Ignores positive Defense stages and damage reduction. | override_status: done
- Dazzling Gleam: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Deadly Strike: done | Always critical hit when it connects. | override: Always critical hit when it connects. | override_status: done
- Decorate: done | Raises the target's Attack and Special Attack by +2 CS. | override: Raises the target's Attack and Special Attack by +2 CS. | override_status: done
- Defend Order: done | Raises Defense and Special Defense by +1 CS. | override: Raises Defense and Special Defense by +1 CS. | override_status: done
- Defense Curl: done | Applies Curled Up, granting crit immunity, damage reduction, and accuracy penalty. | override: Applies Curled Up, granting crit immunity, damage reduction, and accuracy penalty. | override_status: done
- Defog: done | Clears weather, hazards, and coats. | override: Clears weather, hazards, and coats. | override_status: done
- Destiny Bond: done | Binds targets and KOs them if they KO the user before next turn. | override: Binds targets and KOs them if they KO the user before next turn. | override_status: done
- Detect: done | Auto-triggers on hit to negate the incoming move as a scene reaction. | override: Auto-triggers on hit to negate the incoming move as a scene reaction. | override_status: done
- Diamond Storm: done | Defense boost handled on hit. | override: Defense boost handled on hit. | override_status: done
- Dig: done | Set-up/resolution flow already recognized. | override: Set-up/resolution flow already recognized. | override_status: done
- Dire Claw: done | Inflicts Poisoned/Paralyzed/Flinch on 15+ rolls. | override: Inflicts Poisoned/Paralyzed/Flinch on 15+ rolls. | override_status: done
- Dirty Trick: done | Uses Hinder, Blind, then Low Blow contests once per target each scene. | override: Uses Hinder, Blind, then Low Blow contests once per target each scene. | override_status: done
- Disable: done | Auto-triggers on hit to disable the attacker's move; manual use targets last move. | override: Auto-triggers on hit to disable the attacker's move; manual use targets last move. | override_status: done
- Disarm: done | Combat/Stealth contest can drop the target's held item; Telekinetic focus works at range. | override: Combat/Stealth contest can drop the target's held item; Telekinetic focus works at range. | override_status: done
- Disarming Voice: done | Never-miss handling already covered. | override: Never-miss handling already covered. | override_status: done
- Discharge: done | Paralyzes targets on 15+ rolls. | override: Paralyzes targets on 15+ rolls. | override_status: done
- Disengage: done | Shifts 1 meter without provoking attacks of opportunity. | override: Shifts 1 meter without provoking attacks of opportunity. | override_status: done
- Dive: done | Set-up/resolution flow already recognized. | override: Set-up/resolution flow already recognized. | override_status: done
- Dizzy Punch: done | Confuses the target on 17+ rolls. | override: Confuses the target on 17+ rolls. | override_status: done
- Doom Desire: done | Delayed hit resolution already implemented. | override: Delayed hit resolution already implemented. | override_status: done
- Double Hit: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Double Iron Bash: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Double Kick: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Double Slap: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Double Swipe: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Double Team: done | Grants 3 activations that boost accuracy or evasion by +2. | override: Grants 3 activations that boost accuracy or evasion by +2. | override_status: done
- Double-Edge: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Draco Meteor: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Dragon Ascent: done | Lowers the user's Defense and Special Defense by -1 CS. | override: Lowers the user's Defense and Special Defense by -1 CS. | override_status: done
- Dragon Breath: done | Paralyzes the target on 15+. | override: Paralyzes the target on 15+. | override_status: done
- Dragon Claw: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Dragon Dance: done | Raises the user's Attack and Speed by +1 CS. | override: Raises the user's Attack and Speed by +1 CS. | override_status: done
- Dragon Darts: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Dragon Energy: done | Damage base drops by 1 per 10% missing HP. | override: Damage base drops by 1 per 10% missing HP. | override_status: done
- Dragon Hammer: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Dragon Pulse: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Dragon Rage: done | Deals fixed 15 HP damage on hit. | override: Deals fixed 15 HP damage on hit. | override_status: done
- Dragon Rush: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Dragon Tail: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Drain Punch: done | Heals the user for half the damage dealt. | override: Heals the user for half the damage dealt. | override_status: done
- Draining Kiss: done | Heals the user for half the damage dealt. | override: Heals the user for half the damage dealt. | override_status: done
- Dream Eater: done | Only affects sleeping targets, heals half damage, and does not wake them. | override: Only affects sleeping targets, heals half damage, and does not wake them. | override_status: done
- Drill Peck: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Drill Run: done | Critical hit threshold lowered to 18+. | override: Critical hit threshold lowered to 18+. | override_status: done
- Drum Beating: done | Lowers the target's Speed by -1 CS. | override: Lowers the target's Speed by -1 CS. | override_status: done
- Dual Chop: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Dual Wingbeat: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Dynamax Cannon: done | DB increases by +2 per positive CS on the target, up to DB 20. | override: DB increases by +2 per positive CS on the target, up to DB 20. | override_status: done
- Dynamic Punch: done | Confuses the target and ignores evasion if the target is flanked. | override: Confuses the target and ignores evasion if the target is flanked. | override_status: done
- Earth Power: done | Lowers Special Defense by -1 CS on 16+. | override: Lowers Special Defense by -1 CS on 16+. | override_status: done
- Earthquake: done | Can hit underground targets (Dig). | override: Can hit underground targets (Dig). | override_status: done
- Echoed Voice: done | Damage base scales with Echoed Voice usage in the prior rounds. | override: Damage base scales with Echoed Voice usage in the prior rounds. | override_status: done
- Eerie Impulse: done | Lowers the target's Special Attack by -2 CS. | override: Lowers the target's Special Attack by -2 CS. | override_status: done
- Eerie Spell: done | Once per scene, disables the target's last move used. | override: Once per scene, disables the target's last move used. | override_status: done
- Egg Bomb: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Electric Terrain: done | Electrifies the field for 5 rounds; grounded Electric attacks gain +10 damage and grounded targets are immune to Sleep. | override: Electrifies the field for 5 rounds; grounded Electric attacks gain +10 damage and grounded targets are immune to Sleep. | override_status: done
- Electrify: done | Forces damaging Water or Melee attacks to become Electric until end of the user's next turn. | override: Forces damaging Water or Melee attacks to become Electric until end of the user's next turn. | override_status: done
- Electro Ball: done | Adds user Speed and target Speed into the damage calculation. | override: Adds user Speed and target Speed into the damage calculation. | override_status: done
- Electroweb: done | Lowers Speed by -1 CS on all targets hit. | override: Lowers Speed by -1 CS on all targets hit. | override_status: done
- Embargo: done | Disables held items for the encounter; only one target at a time. | override: Disables held items for the encounter; only one target at a time. | override_status: done
- Ember: done | Burns the target on 18+. | override: Burns the target on 18+. | override_status: done
- Encore: done | Roll 1d6 to apply Confused, Suppressed, or Enraged. | override: Roll 1d6 to apply Confused, Suppressed, or Enraged. | override_status: done
- Endeavor: done | Deals tick damage equal to the user's injury count. | override: Deals tick damage equal to the user's injury count. | override_status: done
- Endure: done | Grants Endure to leave the user at 1 HP if a hit would KO them. | override: Grants Endure to leave the user at 1 HP if a hit would KO them. | override_status: done
- Energy Ball: done | Lowers the target's Special Defense by -1 CS on 17+. | override: Lowers the target's Special Defense by -1 CS on 17+. | override_status: done
- Energy Blast: done | Raises the user's Special Attack by +1 CS on 19+. | override: Raises the user's Special Attack by +1 CS on 19+. | override_status: done
- Energy Sphere: done | Raises the user's Special Defense by +1 CS on 19+. | override: Raises the user's Special Defense by +1 CS on 19+. | override_status: done
- Energy Vortex: done | Applies Vortex and Trapped. | override: Applies Vortex and Trapped. | override_status: done
- Entrainment: done | Grants one of the user's abilities for 3 turns. | override: Grants one of the user's abilities for 3 turns. | override_status: done
- Eruption: done | Damage base drops by 1 per 10% missing HP. | override: Damage base drops by 1 per 10% missing HP. | override_status: done
- Esper Wing: done | Critical hit threshold lowered to 18+. | override: Critical hit threshold lowered to 18+. | override_status: done
- Eternabeam: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- EW Adept: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- EW Expert: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Expanding Force: done | Creates Psychic Terrain in a Burst 7 for 5 rounds once per scene. | override: Creates Psychic Terrain in a Burst 7 for 5 rounds once per scene. | override_status: done
- Explosion: done | User loses HP equal to current HP plus 50% max HP. | override: User loses HP equal to current HP plus 50% max HP. | override_status: done
- Extrasensory: done | Flinches the target on 19+. | override: Flinches the target on 19+. | override_status: done
- Extreme Speed: done | Logs the priority attack so the 1st-strike effect is recorded. | override: Logs the priority attack so the 1st-strike effect is recorded. | override_status: done
- Facade: done | DB doubles to 14 when the user has a persistent status affliction. | override: DB doubles to 14 when the user has a persistent status affliction. | override_status: done
- Fairy Lock: done | Traps and slows legal targets while the user remains on the field. | override: Traps and slows legal targets while the user remains on the field. | override_status: done
- Fairy Wind: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Fake Out: done | On the join turn, resolves with Priority and flinches the target. | override: On the join turn, resolves with Priority and flinches the target. | override_status: done
- Fake Tears: done | Lowers the target's Special Defense by -2 CS on hit. | override: Lowers the target's Special Defense by -2 CS on hit. | override_status: done
- False Surrender: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- False Swipe: done | Never drops the target below 1 HP. | override: Never drops the target below 1 HP. | override_status: done
- Façade: done | DB doubles to 14 when the user has a persistent status affliction. | override: DB doubles to 14 when the user has a persistent status affliction. | override_status: done
- Feather Dance: done | Lowers every legal target's Attack by -2 Combat Stages. | override: Lowers every legal target's Attack by -2 Combat Stages. | override_status: done
- Feint: done | Bypasses and removes shielding effects on the target. | override: Bypasses and removes shielding effects on the target. | override_status: done
- Feint Attack: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fell Stinger: done | Raises the user's Attack by +2 CS after it knocks out the target. | override: Raises the user's Attack by +2 CS after it knocks out the target. | override_status: done
