species,move,level
Abomasnow Mega Evolution,Hidden Power Fairy,0
Abomasnow Mega Evolution,Hidden Power Fighting,0
Abomasnow Mega Evolution,Hidden Power Fire,0
Abomasnow Mega Evolution,Hidden Power Flying,0
Abomasnow Mega Evolution,Hidden Power Ghost,0
Abomasnow Mega Evolution,Hidden Power Grass,0
Abomasnow Mega Evolution,Hidden Power Ground,0
Abomasnow Mega Evolution,Hidden Power Ice,0
Abomasnow Mega Evolution,Hidden Power Poison,0
Abomasnow Mega Evolution,Hidden Power Psychic,0
Abomasnow Mega Evolution,Hidden Power Rock,0
Abomasnow Mega Evolution,Hidden Power Steel,0
Abomasnow Mega Evolution,Hidden Power Water,0
Abomasnow Mega Evolution,Hyper Beam,0
Abomasnow Mega Evolution,Ice Beam,0
Abomasnow Mega Evolution,Ice Shard,26
Abomasnow Mega Evolution,Icy Wind,9
Abomasnow Mega Evolution,Ingrain,31
Abomasnow Mega Evolution,Light Screen,0
Abomasnow Mega Evolution,Mist,21
Abomasnow Mega Evolution,Mist Ball,21
Abomasnow Mega Evolution,Misty Explosion,21
Abomasnow Mega Evolution,Misty Terrain,21
Abomasnow Mega Evolution,Protect,0
Abomasnow Mega Evolution,Rain Dance,0
Abomasnow Mega Evolution,Razor Leaf,5
Abomasnow Mega Evolution,Rest,0
Abomasnow Mega Evolution,Return,0
Abomasnow Mega Evolution,Rock Slide,0
Abomasnow Mega Evolution,Rock Smash,0
Abomasnow Mega Evolution,Rock Tomb,0
Abomasnow Mega Evolution,Round,0
Abomasnow Mega Evolution,Safeguard,0
Abomasnow Mega Evolution,Shadow Ball,0
Abomasnow Mega Evolution,Sheer Cold,58
Abomasnow Mega Evolution,Sleep Talk,0
Abomasnow Mega Evolution,Solar Beam,0
Abomasnow Mega Evolution,Strength,0
Abomasnow Mega Evolution,Strength Sap,0
Abomasnow Mega Evolution,Substitute,0
Abomasnow Mega Evolution,Swagger,0
Abomasnow Mega Evolution,Swagger [SM],0
Abomasnow Mega Evolution,Swords Dance,0
Abomasnow Mega Evolution,Toxic,0
Abomasnow Mega Evolution,Toxic Spikes,0
Abomasnow Mega Evolution,Toxic Threads,0
Abomasnow Mega Evolution,Wood Hammer,36
Abra,Attract,0
Abra,Calm Mind,0
Abra,Charge Beam,0
Abra,Confide,0
Abra,Dazzling Gleam,0
Abra,Double Team,0
Abra,Dream Eater,0
Abra,Embargo,0
Abra,Energy Ball,0
Abra,Facade,0
Abra,Flash,0
Abra,Flash Cannon,0
Abra,Fling,0
Abra,Frustration,0
Abra,Grass Knot,0
Abra,Hidden Power,0
Abra,Hidden Power Bug,0
Abra,Hidden Power Dark,0
Abra,Hidden Power Dragon,0
Abra,Hidden Power Electric,0
Abra,Hidden Power Fairy,0
Abra,Hidden Power Fighting,0
Abra,Hidden Power Fire,0
Abra,Hidden Power Flying,0
Abra,Hidden Power Ghost,0
Abra,Hidden Power Grass,0
Abra,Hidden Power Ground,0
Abra,Hidden Power Ice,0
Abra,Hidden Power Poison,0
Abra,Hidden Power Psychic,0
Abra,Hidden Power Rock,0
Abra,Hidden Power Steel,0
Abra,Hidden Power Water,0
Abra,Light Screen,0
Abra,Protect,0
Abra,Psych Up,0
Abra,Psychic,0
Abra,Psychic Fangs,0
Abra,Psychic Terrain,0
Abra,Psyshock,0
Abra,Rain Dance,0
Abra,Reflect,0
Abra,Reflect Type,0
Abra,Rest,0
Abra,Return,0
Abra,Round,0
Abra,Safeguard,0
Abra,Shadow Ball,0
Abra,Sleep Talk,0
Abra,Substitute,0
Abra,Sunny Day,0
Abra,Swagger,0
Abra,Swagger [SM],0
Abra,Taunt,0
Abra,Teleport,1
Abra,Thief,0
Abra,Thunder Wave,0
Abra,Thunder Wave [SM],0
Abra,Torment,0
Abra,Toxic,0
Abra,Toxic Spikes,0
Abra,Toxic Threads,0
Abra,Trick Room,0
Absol,Aerial Ace,0
Absol,Attract,0
Absol,Bite,20
Absol,Blizzard,0
Absol,Calm Mind,0
Absol,Charge Beam,0
Absol,Cut,0
Absol,Dark Pulse,0
Absol,Detect,44
Absol,Double Team,0
Absol,Dream Eater,0
Absol,Echoed Voice,0
Absol,Facade,0
Absol,False Swipe,0
Absol,Feint,1
Absol,Feint Attack,1
Absol,Fire Blast,0
Absol,Flamethrower,0
Absol,Flash,0
Absol,Flash Cannon,0
Absol,Frustration,0
Absol,Future Sight,36
Absol,Giga Impact,0
Absol,Hail,0
Absol,Hidden Power,0
Absol,Hidden Power Bug,0
Absol,Hidden Power Dark,0
Absol,Hidden Power Dragon,0
Absol,Hidden Power Electric,0
Absol,Hidden Power Fairy,0
Absol,Hidden Power Fighting,0
Absol,Hidden Power Fire,0
Absol,Hidden Power Flying,0
Absol,Hidden Power Ghost,0
Absol,Hidden Power Grass,0
Absol,Hidden Power Ground,0
Absol,Hidden Power Ice,0
Absol,Hidden Power Poison,0
Absol,Hidden Power Psychic,0
Absol,Hidden Power Rock,0
Absol,Hidden Power Steel,0
Absol,Hidden Power Water,0
Absol,Hone Claws,0
Absol,Hyper Beam,0
Absol,Ice Beam,0
Absol,Incinerate,0
Absol,Leer,4
Absol,Me First,60
Absol,Night Slash,41
Absol,Payback,0
Absol,Perish Song,65
Absol,Protect,0
Absol,Psych Up,0
Absol,Psycho Cut,49
Absol,Pursuit,12
Absol,Quick Attack,9
Absol,Rain Dance,0
Absol,Razor Wind,57
Absol,Rest,0
Absol,Retaliate,0
Absol,Return,0
Absol,Rock Slide,0
Absol,Rock Smash,0
Absol,Rock Tomb,0
Absol,Round,0
Absol,Sandstorm,0
Absol,Scratch,1
Absol,Shadow Ball,0
Absol,Shadow Claw,0
Absol,Slash,28
Absol,Sleep Talk,0
Absol,Snarl,0
Absol,Stone Edge,0
Absol,Strength,0
Absol,Strength Sap,0
Absol,Substitute,0
Absol,Sucker Punch,52
Absol,Sucker Punch [SM],52
Absol,Sunny Day,0
Absol,Swagger,0
Absol,Swagger [SM],0
Absol,Swords Dance,0
Absol,Taunt,0
Absol,Thief,0
Absol,Thunder,0
Absol,Thunder Cage,0
Absol,Thunder Fang,0
Absol,Thunder Punch,0
Absol,Thunder Shock,0
Absol,Thunder Wave,0
Absol,Thunder Wave [SM],0
Absol,Thunderbolt,0
Absol,Thunderous Kick,0
Absol,Torment,0
Absol,Toxic,0
Absol,Toxic Spikes,0
Absol,Toxic Threads,0
Absol,Will-O-Wisp,0
Absol,X-Scissor,0
Absol Mega Evolution,Aerial Ace,0
Absol Mega Evolution,Attract,0
Absol Mega Evolution,Bite,20
Absol Mega Evolution,Blizzard,0
Absol Mega Evolution,Calm Mind,0
Absol Mega Evolution,Charge Beam,0
Absol Mega Evolution,Cut,0
Absol Mega Evolution,Dark Pulse,0
Absol Mega Evolution,Detect,44
Absol Mega Evolution,Double Team,0
Absol Mega Evolution,Dream Eater,0
Absol Mega Evolution,Echoed Voice,0
Absol Mega Evolution,Facade,0
Absol Mega Evolution,False Swipe,0
Absol Mega Evolution,Feint,1
Absol Mega Evolution,Feint Attack,1
Absol Mega Evolution,Fire Blast,0
Absol Mega Evolution,Flamethrower,0
Absol Mega Evolution,Flash,0
Absol Mega Evolution,Flash Cannon,0
Absol Mega Evolution,Frustration,0
Absol Mega Evolution,Future Sight,36
Absol Mega Evolution,Giga Impact,0
Absol Mega Evolution,Hail,0
Absol Mega Evolution,Hidden Power,0
Absol Mega Evolution,Hidden Power Bug,0
Absol Mega Evolution,Hidden Power Dark,0
Absol Mega Evolution,Hidden Power Dragon,0
Absol Mega Evolution,Hidden Power Electric,0
Absol Mega Evolution,Hidden Power Fairy,0
Absol Mega Evolution,Hidden Power Fighting,0
Absol Mega Evolution,Hidden Power Fire,0
Absol Mega Evolution,Hidden Power Flying,0
Absol Mega Evolution,Hidden Power Ghost,0
Absol Mega Evolution,Hidden Power Grass,0
Absol Mega Evolution,Hidden Power Ground,0
Absol Mega Evolution,Hidden Power Ice,0
Absol Mega Evolution,Hidden Power Poison,0
Absol Mega Evolution,Hidden Power Psychic,0
Absol Mega Evolution,Hidden Power Rock,0
Absol Mega Evolution,Hidden Power Steel,0
Absol Mega Evolution,Hidden Power Water,0
Absol Mega Evolution,Hone Claws,0
Absol Mega Evolution,Hyper Beam,0
Absol Mega Evolution,Ice Beam,0
Absol Mega Evolution,Incinerate,0
Absol Mega Evolution,Leer,4
Absol Mega Evolution,Me First,60
Absol Mega Evolution,Night Slash,41
Absol Mega Evolution,Payback,0
Absol Mega Evolution,Perish Song,65
Absol Mega Evolution,Protect,0
Absol Mega Evolution,Psych Up,0
Absol Mega Evolution,Psycho Cut,49
Absol Mega Evolution,Pursuit,12
Absol Mega Evolution,Quick Attack,9
Absol Mega Evolution,Rain Dance,0
Absol Mega Evolution,Razor Wind,57
Absol Mega Evolution,Rest,0
Absol Mega Evolution,Retaliate,0
Absol Mega Evolution,Return,0
Absol Mega Evolution,Rock Slide,0
Absol Mega Evolution,Rock Smash,0
Absol Mega Evolution,Rock Tomb,0
Absol Mega Evolution,Round,0
Absol Mega Evolution,Sandstorm,0
Absol Mega Evolution,Scratch,1
Absol Mega Evolution,Shadow Ball,0
Absol Mega Evolution,Shadow Claw,0
Absol Mega Evolution,Slash,28
Absol Mega Evolution,Sleep Talk,0
Absol Mega Evolution,Snarl,0
Absol Mega Evolution,Stone Edge,0
Absol Mega Evolution,Strength,0
Absol Mega Evolution,Strength Sap,0
Absol Mega Evolution,Substitute,0
Absol Mega Evolution,Sucker Punch,52
Absol Mega Evolution,Sucker Punch [SM],52
Absol Mega Evolution,Sunny Day,0
Absol Mega Evolution,Swagger,0
Absol Mega Evolution,Swagger [SM],0
Absol Mega Evolution,Swords Dance,0
Absol Mega Evolution,Taunt,0
Absol Mega Evolution,Thief,0
Absol Mega Evolution,Thunder,0
Absol Mega Evolution,Thunder Cage,0
Absol Mega Evolution,Thunder Fang,0
Absol Mega Evolution,Thunder Punch,0
Absol Mega Evolution,Thunder Shock,0
Absol Mega Evolution,Thunder Wave,0
Absol Mega Evolution,Thunder Wave [SM],0
Absol Mega Evolution,Thunderbolt,0
Absol Mega Evolution,Thunderous Kick,0
Absol Mega Evolution,Torment,0
Absol Mega Evolution,Toxic,0
Absol Mega Evolution,Toxic Spikes,0
Absol Mega Evolution,Toxic Threads,0
Absol Mega Evolution,Will-O-Wisp,0
Absol Mega Evolution,X-Scissor,0
Accelgor,Acid Spray,4
Accelgor,Agility,32
Accelgor,Attract,0
Accelgor,Bug Buzz,44
Accelgor,Double Team,0
Accelgor,Energy Ball,0
Accelgor,Facade,0
Accelgor,Final Gambit,56
Accelgor,Focus Blast,0
Accelgor,Frustration,0
Accelgor,Giga Drain,37
Accelgor,Giga Impact,0
Accelgor,Hidden Power,0
Accelgor,Hidden Power Bug,0
Accelgor,Hidden Power Dark,0
Accelgor,Hidden Power Dragon,0
Accelgor,Hidden Power Electric,0
Accelgor,Hidden Power Fairy,0
Accelgor,Hidden Power Fighting,0
Accelgor,Hidden Power Fire,0
Accelgor,Hidden Power Flying,0
Accelgor,Hidden Power Ghost,0
Accelgor,Hidden Power Grass,0
Accelgor,Hidden Power Ground,0
Accelgor,Hidden Power Ice,0
Accelgor,Hidden Power Poison,0
Accelgor,Hidden Power Psychic,0
Accelgor,Hidden Power Rock,0
Accelgor,Hidden Power Steel,0
Accelgor,Hidden Power Water,0
Accelgor,Hyper Beam,0
Accelgor,Infestation,0
Accelgor,Me First,28
Accelgor,Mega Drain,20
Accelgor,Power Swap,52
Accelgor,Protect,0
Accelgor,Quick Attack,13
Accelgor,Rain Dance,0
Accelgor,Recover,49
Accelgor,Rest,0
Accelgor,Return,0
Accelgor,Round,0
Accelgor,Sandstorm,0
Accelgor,Sleep Talk,0
Accelgor,Sludge Bomb,0
Accelgor,Struggle Bug,0
Accelgor,Substitute,0
Accelgor,Swagger,0
Accelgor,Swagger [SM],0
Accelgor,Swift,25
Accelgor,Toxic,0
Accelgor,Toxic Spikes,0
Accelgor,Toxic Threads,0
Accelgor,U-Turn,0
Accelgor,Venoshock,0
Aegislash,Aerial Ace,0
Aegislash,Attract,0
Aegislash,Autotomize,18
Aegislash,Brick Break,0
Aegislash,Confide,0
Aegislash,Cut,0
Aegislash,Double Team,0
Aegislash,Facade,0
Aegislash,False Swipe,0
Aegislash,Flash Cannon,0
Aegislash,Frustration,0
Aegislash,Fury Cutter,5
Aegislash,Giga Impact,0
Aegislash,Gyro Ball,0
Aegislash,Hidden Power,0
Aegislash,Hidden Power Bug,0
Aegislash,Hidden Power Dark,0
Aegislash,Hidden Power Dragon,0
Aegislash,Hidden Power Electric,0
Aegislash,Hidden Power Fairy,0
Aegislash,Hidden Power Fighting,0
Aegislash,Hidden Power Fire,0
Aegislash,Hidden Power Flying,0
Aegislash,Hidden Power Ghost,0
Aegislash,Hidden Power Grass,0
Aegislash,Hidden Power Ground,0
Aegislash,Hidden Power Ice,0
Aegislash,Hidden Power Poison,0
Aegislash,Hidden Power Psychic,0
Aegislash,Hidden Power Rock,0
Aegislash,Hidden Power Steel,0
Aegislash,Hidden Power Water,0
Aegislash,Hyper Beam,0
Aegislash,Iron Defense,32
Aegislash,Iron Head,45
Aegislash,Metal Sound,8
Aegislash,Night Slash,36
Aegislash,Power Trick,41
Aegislash,Protect,0
Aegislash,Pursuit,13
Aegislash,Rain Dance,0
Aegislash,Reflect,0
Aegislash,Reflect Type,0
Aegislash,Rest,0
Aegislash,Retaliate,0
Aegislash,Return,0
Aegislash,Rock Slide,0
Aegislash,Rock Smash,0
Aegislash,Sacred Sword,51
Aegislash,Shadow Ball,0
Aegislash,Shadow Claw,0
Aegislash,Shadow Sneak,20
Aegislash,Slash,29
Aegislash,Sleep Talk,0
Aegislash,Substitute,0
Aegislash,Swagger,0
Aegislash,Swagger [SM],0
Aegislash,Swords Dance,0
Aegislash,Tackle,1
Aegislash,Tackle [SM],1
Aegislash,Toxic,0
Aegislash,Toxic Spikes,0
Aegislash,Toxic Threads,0
Aerodactyl,Aerial Ace,0
Aerodactyl,Agility,17
Aerodactyl,Ancient Power,25
Aerodactyl,Attract,0
Aerodactyl,Bite,1
Aerodactyl,Bulldoze,0
Aerodactyl,Crunch,33
Aerodactyl,Double Team,0
Aerodactyl,Dragon Claw,0
Aerodactyl,Earthquake,0
Aerodactyl,Facade,0
Aerodactyl,Fire Blast,0
Aerodactyl,Flamethrower,0
Aerodactyl,Fly,0
Aerodactyl,Flying Press,0
Aerodactyl,Flying Press [SM],0
Aerodactyl,Frustration,0
Aerodactyl,Giga Impact,0
Aerodactyl,Hidden Power,0
Aerodactyl,Hidden Power Bug,0
Aerodactyl,Hidden Power Dark,0
Aerodactyl,Hidden Power Dragon,0
Aerodactyl,Hidden Power Electric,0
Aerodactyl,Hidden Power Fairy,0
Aerodactyl,Hidden Power Fighting,0
Aerodactyl,Hidden Power Fire,0
Aerodactyl,Hidden Power Flying,0
Aerodactyl,Hidden Power Ghost,0
Aerodactyl,Hidden Power Grass,0
Aerodactyl,Hidden Power Ground,0
Aerodactyl,Hidden Power Ice,0
Aerodactyl,Hidden Power Poison,0
Aerodactyl,Hidden Power Psychic,0
Aerodactyl,Hidden Power Rock,0
Aerodactyl,Hidden Power Steel,0
Aerodactyl,Hidden Power Water,0
Aerodactyl,Hone Claws,0
Aerodactyl,Hyper Beam,0
Aerodactyl,Incinerate,0
Aerodactyl,Iron Head,57
Aerodactyl,Payback,0
Aerodactyl,Protect,0
Aerodactyl,Rain Dance,0
Aerodactyl,Rest,0
Aerodactyl,Return,0
Aerodactyl,Roar,0
Aerodactyl,Roar of Time,0
Aerodactyl,Rock Polish,0
Aerodactyl,Rock Slide,0
Aerodactyl,Rock Smash,0
Aerodactyl,Rock Tomb,0
Aerodactyl,Roost,0
Aerodactyl,Round,0
Aerodactyl,Sandstorm,0
Aerodactyl,Scary Face,1
Aerodactyl,Sky Drop,0
Aerodactyl,Sleep Talk,0
Aerodactyl,Smack Down,0
Aerodactyl,Steel Wing,0
Aerodactyl,Stone Edge,0
Aerodactyl,Strength,0
Aerodactyl,Strength Sap,0
Aerodactyl,Substitute,0
Aerodactyl,Sunny Day,0
Aerodactyl,Swagger,0
Aerodactyl,Swagger [SM],0
Aerodactyl,Take Down,41
Aerodactyl,Taunt,0
Aerodactyl,Thief,0
Aerodactyl,Torment,0
Aerodactyl,Toxic,0
Aerodactyl,Toxic Spikes,0
Aerodactyl,Toxic Threads,0
Aerodactyl,Wing Attack,1
Aerodactyl Mega Evolution,Aerial Ace,0
Aerodactyl Mega Evolution,Agility,17
Aerodactyl Mega Evolution,Ancient Power,25
Aerodactyl Mega Evolution,Attract,0
Aerodactyl Mega Evolution,Bite,1
Aerodactyl Mega Evolution,Bulldoze,0
Aerodactyl Mega Evolution,Crunch,33
Aerodactyl Mega Evolution,Double Team,0
Aerodactyl Mega Evolution,Dragon Claw,0
Aerodactyl Mega Evolution,Earthquake,0
Aerodactyl Mega Evolution,Facade,0
Aerodactyl Mega Evolution,Fire Blast,0
Aerodactyl Mega Evolution,Flamethrower,0
Aerodactyl Mega Evolution,Fly,0
Aerodactyl Mega Evolution,Flying Press,0
Aerodactyl Mega Evolution,Flying Press [SM],0
Aerodactyl Mega Evolution,Frustration,0
Aerodactyl Mega Evolution,Giga Impact,0
Aerodactyl Mega Evolution,Hidden Power,0
Aerodactyl Mega Evolution,Hidden Power Bug,0
Aerodactyl Mega Evolution,Hidden Power Dark,0
Aerodactyl Mega Evolution,Hidden Power Dragon,0
Aerodactyl Mega Evolution,Hidden Power Electric,0
Aerodactyl Mega Evolution,Hidden Power Fairy,0
Aerodactyl Mega Evolution,Hidden Power Fighting,0
Aerodactyl Mega Evolution,Hidden Power Fire,0
Aerodactyl Mega Evolution,Hidden Power Flying,0
Aerodactyl Mega Evolution,Hidden Power Ghost,0
Aerodactyl Mega Evolution,Hidden Power Grass,0
Aerodactyl Mega Evolution,Hidden Power Ground,0
Aerodactyl Mega Evolution,Hidden Power Ice,0
Aerodactyl Mega Evolution,Hidden Power Poison,0
Aerodactyl Mega Evolution,Hidden Power Psychic,0
Aerodactyl Mega Evolution,Hidden Power Rock,0
Aerodactyl Mega Evolution,Hidden Power Steel,0
Aerodactyl Mega Evolution,Hidden Power Water,0
Aerodactyl Mega Evolution,Hone Claws,0
Aerodactyl Mega Evolution,Hyper Beam,0
Aerodactyl Mega Evolution,Incinerate,0
Aerodactyl Mega Evolution,Iron Head,57
Aerodactyl Mega Evolution,Payback,0
Aerodactyl Mega Evolution,Protect,0
Aerodactyl Mega Evolution,Rain Dance,0
Aerodactyl Mega Evolution,Rest,0
Aerodactyl Mega Evolution,Return,0
Aerodactyl Mega Evolution,Roar,0
Aerodactyl Mega Evolution,Roar of Time,0
Aerodactyl Mega Evolution,Rock Polish,0
Aerodactyl Mega Evolution,Rock Slide,0
Aerodactyl Mega Evolution,Rock Smash,0
Aerodactyl Mega Evolution,Rock Tomb,0
Aerodactyl Mega Evolution,Roost,0
Aerodactyl Mega Evolution,Round,0
Aerodactyl Mega Evolution,Sandstorm,0
Aerodactyl Mega Evolution,Scary Face,1
Aerodactyl Mega Evolution,Sky Drop,0
Aerodactyl Mega Evolution,Sleep Talk,0
Aerodactyl Mega Evolution,Smack Down,0
Aerodactyl Mega Evolution,Steel Wing,0
Aerodactyl Mega Evolution,Stone Edge,0
Aerodactyl Mega Evolution,Strength,0
Aerodactyl Mega Evolution,Strength Sap,0
Aerodactyl Mega Evolution,Substitute,0
Aerodactyl Mega Evolution,Sunny Day,0
Aerodactyl Mega Evolution,Swagger,0
Aerodactyl Mega Evolution,Swagger [SM],0
Aerodactyl Mega Evolution,Take Down,41
Aerodactyl Mega Evolution,Taunt,0
Aerodactyl Mega Evolution,Thief,0
Aerodactyl Mega Evolution,Torment,0
Aerodactyl Mega Evolution,Toxic,0
Aerodactyl Mega Evolution,Toxic Spikes,0
Aerodactyl Mega Evolution,Toxic Threads,0
Aerodactyl Mega Evolution,Wing Attack,1
Aggron,Aerial Ace,0
Aggron,Attract,0
Aggron,Autotomize,48
Aggron,Blizzard,0
Aggron,Brick Break,0
Aggron,Bulldoze,0
Aggron,Confide,0
Aggron,Cut,0
Aggron,Dark Pulse,0
Aggron,Dig,0
Aggron,Double Team,0
Aggron,Double-Edge,65
Aggron,Dragon Claw,0
Aggron,Dragon Tail,0
Aggron,Earthquake,0
Aggron,Facade,0
Aggron,Fire Blast,0
Aggron,Flamethrower,0
Aggron,Flash Cannon,0
Aggron,Fling,0
Aggron,Focus Blast,0
Aggron,Frustration,0
Aggron,Giga Impact,0
Aggron,Headbutt,8
Aggron,Heavy Slam,57
Aggron,Hidden Power,0
Aggron,Hidden Power Bug,0
Aggron,Hidden Power Dark,0
Aggron,Hidden Power Dragon,0
Aggron,Hidden Power Electric,0
Aggron,Hidden Power Fairy,0
Aggron,Hidden Power Fighting,0
Aggron,Hidden Power Fire,0
Aggron,Hidden Power Flying,0
Aggron,Hidden Power Ghost,0
Aggron,Hidden Power Grass,0
Aggron,Hidden Power Ground,0
Aggron,Hidden Power Ice,0
Aggron,Hidden Power Poison,0
Aggron,Hidden Power Psychic,0
Aggron,Hidden Power Rock,0
Aggron,Hidden Power Steel,0
Aggron,Hidden Power Water,0
Aggron,Hone Claws,0
Aggron,Hyper Beam,0
Aggron,Ice Beam,0
Aggron,Incinerate,0
Aggron,Iron Defense,15
Aggron,Iron Head,25
Aggron,Iron Tail,40
Aggron,Metal Burst,74
Aggron,Metal Claw,11
Aggron,Metal Sound,34
Aggron,Mud-Slap,4
Aggron,Payback,0
Aggron,Power-Up Punch,0
Aggron,Protect,0
Aggron,Rain Dance,0
Aggron,Rest,0
Aggron,Return,0
Aggron,Roar,0
Aggron,Roar of Time,0
Aggron,Rock Polish,0
Aggron,Rock Slide,0
Aggron,Rock Smash,0
Aggron,Rock Tomb,0
Aggron,Round,0
Aggron,Sandstorm,0
Aggron,Shadow Claw,0
Aggron,Sleep Talk,0
Aggron,Smack Down,0
Aggron,Solar Beam,0
Aggron,Stone Edge,0
Aggron,Strength,0
Aggron,Strength Sap,0
Aggron,Substitute,0
Aggron,Sunny Day,0
Aggron,Surf,0
Aggron,Swagger,0
Aggron,Swagger [SM],0
Aggron,Take Down,22
Aggron,Taunt,0
Aggron,Thunder,0
Aggron,Thunder Cage,0
Aggron,Thunder Fang,0
Aggron,Thunder Punch,0
Aggron,Thunder Shock,0
Aggron,Thunder Wave,0
Aggron,Thunder Wave [SM],0
Aggron,Thunderbolt,0
Aggron,Thunderous Kick,0
Aggron,Toxic,0
Aggron,Toxic Spikes,0
Aggron,Toxic Threads,0
Aggron Mega Evolution,Aerial Ace,0
Aggron Mega Evolution,Attract,0
Aggron Mega Evolution,Autotomize,48
Aggron Mega Evolution,Blizzard,0
Aggron Mega Evolution,Brick Break,0
Aggron Mega Evolution,Bulldoze,0
Aggron Mega Evolution,Confide,0
Aggron Mega Evolution,Cut,0
Aggron Mega Evolution,Dark Pulse,0
Aggron Mega Evolution,Dig,0
Aggron Mega Evolution,Double Team,0
Aggron Mega Evolution,Double-Edge,65
Aggron Mega Evolution,Dragon Claw,0
Aggron Mega Evolution,Dragon Tail,0
Aggron Mega Evolution,Earthquake,0
Aggron Mega Evolution,Facade,0
Aggron Mega Evolution,Fire Blast,0
Aggron Mega Evolution,Flamethrower,0
Aggron Mega Evolution,Flash Cannon,0
Aggron Mega Evolution,Fling,0
Aggron Mega Evolution,Focus Blast,0
Aggron Mega Evolution,Frustration,0
Aggron Mega Evolution,Giga Impact,0
Aggron Mega Evolution,Headbutt,8
Aggron Mega Evolution,Heavy Slam,57
Aggron Mega Evolution,Hidden Power,0
Aggron Mega Evolution,Hidden Power Bug,0
Aggron Mega Evolution,Hidden Power Dark,0
Aggron Mega Evolution,Hidden Power Dragon,0
Aggron Mega Evolution,Hidden Power Electric,0
Aggron Mega Evolution,Hidden Power Fairy,0
Aggron Mega Evolution,Hidden Power Fighting,0
Aggron Mega Evolution,Hidden Power Fire,0
Aggron Mega Evolution,Hidden Power Flying,0
Aggron Mega Evolution,Hidden Power Ghost,0
Aggron Mega Evolution,Hidden Power Grass,0
Aggron Mega Evolution,Hidden Power Ground,0
Aggron Mega Evolution,Hidden Power Ice,0
Aggron Mega Evolution,Hidden Power Poison,0
Aggron Mega Evolution,Hidden Power Psychic,0
Aggron Mega Evolution,Hidden Power Rock,0
Aggron Mega Evolution,Hidden Power Steel,0
Aggron Mega Evolution,Hidden Power Water,0
