Pokemon,Acrobatics,Acro Mod,Athletics,Athl Mod,Charm,Charm Mod,Combat,Com Mod,Command,Cmd Mod,Gen Ed,Gen Mod,Med Ed,Med Mod,Occult Ed,Occ Mod,Poke Ed,Poke Mod,Tech Ed,Tech Mod,Focus,Focus Mod,Guile,Guile Mod,Intimidate,Intim Mod,Intuition,Int Mod,Perception,Per Mod,Stealth,Slth Mod,Survival,Sur Mod
Archen,3,+0,2,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,3,+1,3,+1,2,+0
Archeops,4,+0,3,+1,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,4,+1,4,+1,2,+0
Ariados,4,+0,2,+0,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+1,2,+0
Armaldo,3,+2,3,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,2,+0,4,+2,2,+0
Aromatisse,4,+2,4,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,4,+2,3,+0,2,+0
Aron,1,+1,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+1,2,+0,2,+0
Articuno,4,+0,5,+0,2,+0,4,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,3,+0,2,+1,2,+0
Audino,2,+0,2,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,3,+1,3,+0,2,+0
Aurorus,2,+0,5,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,4,+1,3,+0,2,+0
Avalugg,1,+0,6,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,3,+0,3,+1,2,+0
Axew,2,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+1,3,+1,2,+0
Azelf,3,+2,3,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,6,+2,2,+0,2,+0,2,+0,4,+2,4,+2,2,+0
Azumarill,3,+1,4,+2,2,+0,2,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,4,+1,3,+2,2,+0
Azurill,2,+1,2,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+2,2,+0
Bagon,2,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+1,2,+1,2,+0
Baltoy,2,+0,3,+2,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,3,+1,2,+1,2,+0
Banette,2,+2,3,+1,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,4,+1,5,+3,2,+0
Barbaracle,2,+0,5,+0,2,+0,4,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,4,+1,2,+0,2,+0
Barboach,2,+0,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+1,3,+2,2,+0
Basculin,3,+1,4,+1,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Bastiodon,1,+0,4,+3,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,4,+0,2,+0,2,+0
Bayleef,3,+0,4,+4,2,+0,2,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,3,+0,2,+0
Beartic,2,+0,4,+1,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Beautifly,3,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,6,+3,2,+0,2,+0
Beedrill,5,+3,3,+2,2,+0,4,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+3,2,+0,2,+0,2,+0,3,+3,3,+3,2,+0
Beheeyem,2,+0,3,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+4,2,+0,2,+0,2,+0,4,+2,3,+1,2,+0
Beldum,2,+0,3,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,3,+1,3,+0,2,+0
Bellossom,4,+0,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Bellsprout,3,+2,2,+0,2,+0,2,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+2,2,+0
Bergmite,1,+0,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Bibarel,2,+0,4,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Bidoof,2,+0,2,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Binacle,1,-1,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+1,3,+1,2,+0
Bisharp,4,+1,4,+1,2,+0,5,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,3,+0,3,+0,2,+0
Blastoise,1,+2,4,+2,2,+0,4,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,3,+3,1,+2,2,+0
Blaziken,5,+3,4,+3,2,+0,5,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,3,+0,3,+0,2,+0
Blissey,2,+2,3,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+2,2,+0,2,+0,2,+0,2,+2,2,+1,2,+0
Blitzle,3,+1,4,+3,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Boldore,1,+0,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,3,+0,2,+0,2,+0
Bonsly,2,+0,3,+2,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Bouffalant,3,+0,4,+4,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+2,2,+0,2,+0,2,+0,3,+0,1,+0,2,+0
Braixen,2,+0,2,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,4,+2,3,+0,2,+0
Braviary,4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,3,+0,2,+0,2,+0
Breloom,3,+0,4,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,3,+2,4,+2,2,+0
Bronzong,2,+0,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+2,2,+0,2,+0,2,+0,5,+1,3,+1,2,+0
Bronzor,2,+0,2,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,3,+1,3,+1,2,+0
Budew,2,+0,1,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Buizel,3,+0,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Bulbasaur,2,+0,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Buneary,3,+0,2,+0,2,+0,1,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Bunnelby,3,+0,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Burmy,2,-1,1,+2,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,3,+0,3,+0,2,+0
Butterfree,3,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,6,+3,2,+0,2,+0
Cacnea,2,+0,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+2,2,+0
Cacturne,3,+1,3,+1,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Camerupt,3,+1,4,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Carbink,3,+0,1,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,4,+1,4,+0,2,+0
Carnivine,3,+2,3,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,4,+2,4,+2,2,+0
Carracosta,2,+0,4,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,3,+2,3,+2,2,+0
Carvanha,3,+0,3,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Cascoon,1,+0,1,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Castform,2,+1,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+2,2,+0,2,+0,2,+0,3,+1,2,+0,2,+0
Caterpie,1,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Celebi,3,+0,2,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,6,+2,4,+2,2,+0
Chandelure,3,+0,2,+0,2,+0,3,+3,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,4,+2,4,+0,2,+0
Chansey,2,+1,2,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,2,+1,2,+1,2,+0
Charizard,3,+0,5,+2,2,+0,4,+3,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,2,+0,1,+0,2,+0
Charmander,3,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Charmeleon,3,+0,4,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Chatot,4,+2,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,5,+3,3,+2,2,+0
Cherrim,3,+1,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+2,2,+0,2,+0,2,+0,3,+1,4,+2,2,+0
Cherubi,2,+1,2,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,2,+1,3,+2,2,+0
Chesnaught,2,+0,5,+2,2,+0,5,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,2,+0,2,+0
Chespin,2,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Chikorita,3,+0,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Chimchar,3,+2,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Chimecho,2,+2,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+3,2,+0,2,+0,2,+0,4,+1,2,+0,2,+0
Chinchou,2,+0,1,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,3,+0,1,-1,2,+0
Chingling,2,+0,2,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,3,+1,2,+0,2,+0
Cinccino,4,+1,2,+0,2,+0,2,+3,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,4,+0,2,+0,2,+0
Clamperl,1,+0,1,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Clauncher,2,+0,2,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,3,+3,2,+0,2,+0
Clawitzer,3,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,5,+3,2,+0,2,+0
Claydol,2,+2,4,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+1,2,+0,2,+0,2,+0,5,+1,2,+1,2,+0
Clefable,3,+2,3,+0,2,+0,2,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,4,+1,3,+0,2,+0
Clefairy,3,+0,2,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,2,+1,3,+0,2,+0
Cleffa,2,+2,1,+1,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Cloyster,1,+0,2,+1,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,1,+1,2,+0
Cobalion,4,+3,6,+6,2,+0,5,+3,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+0,2,+0
Cofagrigus,2,+2,3,+1,2,+0,3,+3,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+2,2,+0,2,+0,2,+0,4,+1,4,+2,2,+0
Combee,3,+0,1,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Combusken,4,+3,3,+3,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Conkeldurr,1,+0,5,+2,2,+0,5,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,4,+1,1,+0,2,+0
Corphish,2,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0
Corsola,2,+0,3,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,3,+1,4,+1,2,+0
Cottonee,2,+1,2,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+1,3,+2,2,+0
Cradily,2,+0,2,+2,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,4,+2,2,+0,2,+0
Cranidos,2,+0,3,+2,2,+0,2,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+1,2,+1,2,+0
Crawdaunt,2,+0,4,+1,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,2,+1,2,+0
Cresselia,3,+0,3,+0,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,4,+0,2,+0
Croagunk,3,+0,3,+2,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+1,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Crobat,5,+3,3,+2,2,+0,4,-1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+0,2,+0
Croconaw,1,+0,4,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+2,2,+0
Crustle,1,+0,4,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+2,2,+0
Cryogonal,3,+0,3,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,3,+0,2,+0,2,+0
Cubchoo,2,+1,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Cubone,2,+0,3,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,2,+1,3,+1,2,+0
Cyndaquil,2,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,3,+0,3,+3,2,+0
Darkrai,3,+0,2,+2,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,4,+0,6,+1,2,+0
Darmanitan,3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan Z,3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan (Z),3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan-Z,3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan Zen,3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan (Zen),3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darmanitan-Zen,3,+1,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,3,+2,2,+0
Darumaka,2,+1,2,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+1,2,+0
Dedenne,3,+1,3,+0,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,4,+2,4,+0,2,+0
Deerling,3,+1,2,+0,2,+0,1,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,3,+2,2,+0
Deino,2,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,1,-1,2,+1,2,+0
Delcatty,3,+0,2,+0,2,+0,2,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,5,+0,2,+0,2,+0
Delibird,3,+0,3,+1,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Delphox,2,+0,3,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+2,2,+0,2,+0,2,+0,4,+2,3,+0,2,+0
Deoxys N,4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys (N),4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys-N,4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys Normal,4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys (Normal),4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys-Normal,4,+0,4,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,5,+2,3,+0,2,+0
Deoxys A,4,+0,4,+0,2,+0,6,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,5,+0,2,+0,2,+0,2,+0,3,+0,3,+0,2,+0
