,Mechanics,,,
Hearty Meal,Hits the Spot,"x2 Tiny Mushrooms; or x1 Big Mushroom; or x1 Balm Mushroom, or x2 Power Herbs, White Herbs, or Mental Herbs","You create up to five Hearty Meals, which may be consumed by Trainers as an Extended Action. When consumed, that Trainer gains +2 to their Max AP until the end of their next extended rest. A Trainer may only be under the effect of one Hearty Meal at a time. Hearty Meals not consumed within 20 minutes of being created lose all flavor and all effect.",
Bait Mixer,Culinary Appreciation,$150 or Honey,"You may create Bait. For $50 more, you may create Bait as Super Bait or Vile Bait instead. Super Bait works like regular Bait, but you may add your Intuition Rank to 1d20 Rolls made to attract Pokémon. Vile Bait works like regular Bait, but Pokémon that eat it are Poisoned.",
Preserves,Accentuated Taste,"$50, any Berry, Herb, or Mushroom","The user creates x2 Units of Preserves from the Berry, Herb, or Mushroom. Preserves have the same effect as the consumable from which they were made.",
Leftovers,Complex Aftertaste,$100,You create Leftovers.,
Vitamins,Dietician,Varies,"You create an HP Up, Protein, Iron, Calcium, Zinc, or Carbos for $2450, or Stat Suppressants for $200.",
Contest Trends,Fashionista,Varies,"You can create Contest Accessories for $750, Contest Fashion Items for $500, and Fancy Clothes for $2500.",
Basic Fashion,Fashionista,$500,You create one of the Basic Fashion Items for which you have the chosen Fashionista Skill. These are Accessory Slot Items and may be used as Held Items by Pokémon.,
Adorable Fashion,Charm as Fashionista Skill,$500,The holder may activate this item once a Scene as a Free Action to gain +2 Evasion for one full round.,
Elegant Fashion,Intuition as Fashionista Skill,$500,The holder may activate this item once a Scene as a Free Action when losing Combat Stages from a foe’s effect to instead not lose those Combat Stages.,
Rad Fashion,Command as Fashionista Skill,$500,The holder may activate this item once a Scene as a Free Action to gain a +4 bonus to a single Save Check.,
Rough Fashion,Intimidate as Fashionista Skill,$500,The holder may activate this item once a Scene as a Free Action to cause a foe within 5 meters to take a -2 penalty to all rolls for one full round.,
Slick Fashion,Guile as Fashionista Skill,$500,The holder may activate this item once a Scene as a Free Action when provoking an Attack of Opportunity to instead not provoke one.,
Practical Fashion,Dashing Makeover,$750,"You can create Go-Goggles, Safety Goggles, or Winter Cloaks.",
Focused Fashion,Style is Eternal,"$2,000",You can create Focus Bands and Focus Sashes.,
Incense Maker,Parfumier,Varies,"You can create Lax Incense for $1000, Luck Incense for $900, and Full Incense for $450.",
Restorative Science,Apothecary,$100,"You create an Antidote, Paralyze Heal, Burn Heal, Ice Heal, or Potion.",
Super Cures,Patch Cure,$200,You can create Revives and Super Potions.,
Hyper Cures,Medical Techniques,Varies,"You can create Full Heals for $300, Hyper Potions for $400, and Full Restores for $700.",
Performance Enhancers,Medicinal Blend,"$4,900","You create a PP Up or Heart Booster. If you have a Heart Scale, you may destroy the Heart Scale to create a Heart Booster without paying the monetary cost.",
Type Booster,Crystal Artificer,x4 Shards of the same Color,You create a Type Booster. The Type chosen must be one of the Types associated with the color of the shards used.,
Type Brace,Crystal Artificer,x4 Shards of the same Color,You create a Type Brace. The Type chosen must be one of the Types associated with the color of the shards used.,
Focus Gem,Crystal Resonance,Any Six Shards,"You create a Focus that may crafted to be worn as your choice of an Accessory Item, Head Slot Item, or Hand or Off-Hand Item.",
Chakra Crystal,Crystal Resonance,Any Six Shards,You create a Stat Booster.,
Rainbow Gem,"Rainbow Light, Expert Occult Education",Two Shards of each Color,"You create a Rainbow Gem that may crafted to be worn as your choice of an Accessory Item, Head Slot Item, or Hand or Off-Hand Item. This item has the same effect as a Focus, except that as an Extended Action, any Trainer with Expert Occult Education Rank or higher may change which Stat the Rainbow Amulet is attuned to.",
Plate Crafter,"Rainbow Light, Expert Occult Education",A Type Booster and a Type Brace of the same Type,You create a Type Plate matching the Type Booster and Brace used.,
Enhancers,Chemist,$100,"You can create any X-Item, Dire Hit, or Guard Spec.",
Pester Balls: Disorient,Chemist,$50,You create Pester Balls that can inflict Rage or Confusion.,
Pester Balls: Pain,Chemical Warfare,$50,You create Pester Balls that can inflict Burn or Poison.,
Pester Balls: Shut Down,Caustic Chemistry,$50,You create Pester Balls that can inflict Paralysis or Sleep.,
Robotics 101,Engineer,Varies,"You can create a Small Pokébot for $1000, a Medium Pokébot for $2000, or a Large Pokébot for $3000. Pokébots you create begin at Level 5. You can create and install Basic Combat and Basic Utility Parts for Pokébots.",
Firmware Update,Robofighter,"$500, +2 Complexity",You can create and install Advanced Combat and Advanced Utility Parts for Pokébots.,
Kitbash King,Overclocked,Varies,You can create and install Sympathetic Drives and Repair Nanites for Pokébots.,
Futuretech,Experimental AI,"$2000, +3 Complexity",You can create and install Wired Compatibility Cores for Pokébots.,
Basic Cases,Jailbreaker,$200,"You may create a Contest Case, Lock Case, or Medicine Case.",
Trick Cases,Case Specialist,$400,"You may create a Spray Case, Flash Case, or Bounce Case.",
Advanced Cases,Fusion Cases,Varies,"You may create a Zap Case for $500, a Devil Case for $1000, or a Storage Case for $5000.",
Habitat Modification,Poké Ball Mods,Dive Ball / $250,"Add one of the following keywords to the targeted Dive Ball: Arctic, Mountain, Desert, Grassland, Rainforest, Forest, Tundra, Taiga, Marsh, Beach, Freshwater, Urban or Cave. Instead of when underwater or underground, the modified Poké Ball subtracts 20 from its Capture Rolls when thrown in an area that corresponds with the keyword chosen.",
Power Modification,Poké Ball Mods,Nest Ball / $500,"You change the Nest Ball into a Power Ball. It retains the conditional capture modifier of a Nest Ball, but additionally, when a Power Ball captures a target, the captured Pokémon is raised 1d4 levels upon capture. Can only be used once per Pokémon.",
Type Modification,Poké Ball Mods,Net Ball / $300,"You change the Net Ball into an Earth Ball, Haunt Ball, Solid Ball, Heat Ball, Mystic Ball, Air Ball, Mold Ball, or Gossamer Ball. The properties of these unique balls are identical to the Net Ball, but instead of affecting Bug and Water types, these Balls correspond to the following types. Earth Ball; Grass and Ground; Haunt Ball, Dark and Ghost; Solid Ball, Rock and Steel; Heat Ball, Electric and Fire; Mystic Ball, Dragon and Psychic; Air Ball, Flying and Ice; Mold Ball, Poison and Fighting; Gossamer Ball, Normal and Fairy.",
Fabulous Modification,Poké Ball Mods,Luxury Ball / $250,"You change the Luxury Ball into an Fabulous Ball. When a Fabulous Ball captures a target, the captured Pokémon gains +2 dice in the Contest Stat that corresponds to the Stat boosted by their Nature. If the Stat boosted is HP, choose any two Contest Stats except the one corresponding to the lowered Stat and raise them by 1 die each. As a reminder, Beauty=SpAtk, Cool=Attack, Cute=Speed, Smart=SpDef, Tough=Def. Can only be used once per Pokémon.",
Learning Modification,Poké Ball Mods,Friend Ball / $500,"You change the Friend Ball into a Learning Ball. Instead of increasing loyalty upon capture, when a Learning Ball captures a target, the captured Pokémon immediately learns their next level-up Move, as long as it is within 8 levels of their current level. Can only be used once per Pokémon.",
Weather Modification,Poké Ball Mods,Dusk Ball / $300,"You change the Dusk Ball into a Sun Ball, Rain Ball, Hail Ball, or Sand Ball. Instead of when in low light, the modified Poké Ball subtracts 20 from its Capture Rolls when thrown during the corresponding weather effect.",
Datajack,Upgrader,$250,You may build and install the Datajack Augmentaion.,
Eye Augments,Upgrader,Varies,You may build and install the Enhanced Sight Augmentation for $1000 and Smart Vision Augmentation for $1500.,
Limb Augments,Emergency Reactivation,Varies,You build and install the Synthetic Muscle Augmentation for $1000 and the Embedded Weaponry Augmentation for $2000.,
Body Augments,Efficient Installation,Varies,You may build and install the Medical Nanobots Augmentation for $1000 and the Wired Reflexes Augmentation for $1500.,
Dermal Augments,Experimental Designs,Varies,You may build and install the Dermal Plating Augmentation for $2000 and the Thermal-Optic Camo Augmentation for $4000.,
Cap Cannon,Capsule Science [5-15 Playtest],"$2,000",You create a Cap Cannon for $2000.,
Cap Ammo,Capsule Science [5-15 Playtest],Varies,"You create a Bean Cap for $25, a Glue Cap for $50, or a Net Cap for $100.",
Wonder Launcher,Capsule Science [5-15 Playtest],"$5,000",You create a Wonder Launcher for $5000.,
,Techniques / Talents / Lessons / Achievements / Manipulations,,,
Name,Prerequisites,Frequency / Cost,Effect,
"Cone, Line, Burst, and Blast Moves",Signature Technique,At-Will – Extended Action / 2 Tutor Points,"»» Scattershot – Agility Training: Instead of the Move’s normal range, it has a range of 4m, 3 Targets.
»» Shock and Awe – Inspired Training: Foes targeted by the Move take a -2 penalty to Save Checks and a -1 Penalty to Evasion until the end of the user’s next turn. This effect applies whether the attack hits or misses.
»» Vicious Storm – Brutal Training: The Move gains the Smite keyword. Applicable to Damaging Moves only.",
Single Target Moves,Signature Technique,At-Will – Extended Action / 2 Tutor Points,"»» Guarding Strike – Inspired Training: If this Move hits, the user gains +5 Damage Reduction against the target of the attack until the end of their next turn.
»» Unbalancing Blow – Brutal Training: Whether the Move hits or misses, the target becomes Vulnerable until the next time they are hit by a Damaging Attack or one full round has passed, whichever comes first.
»» Reliable Attack – Focused Training: If the Move misses its target, its Frequency is not spent and the user may immediately make a Struggle Attack as a Free Action. Cannot be applied to Moves with the Smite keyword.",
Damaging Moves,Signature Technique,At-Will – Extended Action / 2 Tutor Points,"»» Alternative Energy – Focused Training: Switch the Class of the Move from Physical to Special or vice versa.
»» Bloodied Speed – Agility Training: This Move may be used as Priority (Advanced) if the user has less than half of their maximum Hit Points.
»» Double Down – Brutal Training: The Move gains the Double Strike keyword. Effects and Effect-Ranges may be triggered only once (but either roll may trigger the effect). This may only be applied to Moves with a Damage Base of 4 or less, and may not be applied to Moves whose Damage Base change upon certain conditions (such as Fury Cutter or Ice Ball) or moves with Special-Case Damage (such as Night Shade).",
Status Moves,Signature Technique,At-Will – Extended Action / 2 Tutor Points,"»» Burst of Motivation – Inspired Training: After this Move is Resolved, the user may increase any Stats with negative Combat Stages by up to +2 Combat Stages (but this cannot put Combat Stages above +0 CS total).
»» Supreme Concentration – Focused Training: This Move may be used even if the user is Paralyzed, Flinched, Enraged, or has failed their Confusion Save Check.
»» Double Curse – Agility Training: The user may target an additional foe with this Attack. This may be applied only to 1-Target Moves.",
Capture Skills,Capture Specialist,Static,"You gain a Skill Edge for which you qualify. It must be applied to Acrobatics, Athletics, Stealth, Survival, Guile, or Perception. You may take Capture Skills up to two times.",
Curve Ball,Capture Specialist,Static,"Whenever you hit a target with a Poké Ball, you may deal damage as if you had hit them with a Struggle Attack. This damage triggers before any of the Poké Ball’s functions (such as making a Capture Check, releasing a Pokémon, etc.).",
Devitalizing Throw,Capture Specialist,1 AP – Free Action,"Trigger: A Pokémon escapes from a Poké Ball you threw
Choose One Effect: The triggering target becomes Slowed; the triggering target loses one Combat Stage in a Stat of your choice; or the triggering target suffers a -3 penalty to their next Save Roll.",
Fast Pitch,Capture Specialist,"1 AP – Standard Action, Priority (Advanced)",You immediately throw a Poké Ball.,
Snare,Capture Specialist,Static,"You subtract -10 from Capture Rolls made against Pokémon drawn into an encounter by Bait, that are currently distracted by Bait, or are in a Hand Net, Lasso, Weighted Net, or Stuck because of a Glue Cannon.",
Tools of the Trade,Capture Specialist,Static,"Add +2 to all Accuracy Rolls made with Poké Balls, Hand Nets, Lassos, Weighted Nets, and Glue Cannons. Add +2 to Athletics Checks made when reeling in a Pokémon with a Fishing Rod, and add +4 to 1d20 rolls made to see if a Pokémon is attracted by Bait or a Fishing Lure.
May Playtest Errata: Add +2 to all Accuracy Rolls made with Cap Cannons.",
Catch Combo,"Capture Specialist, 3 of Acrobatics, Athletics, Stealth, Survival, Guile, or Perception Skills at Expert Rank",Daily – Free Action,"Trigger: Your Pokémon’s attack faints a Wild Pokémon.
Effect: You may immediately throw a Poké Ball against the triggering Wild Pokémon, and it may be Captured even though it is knocked out. Calculate Capture Rate as if the target had 1 HP. If the Capture Attempt fails, the Pokémon is knocked out as normal.",
False Strike,"Capture Specialist, 3 of Acrobatics, Athletics, Stealth, Survival, Guile, or Perception Skills at Expert Rank",Scene x2 – Free Action,"Trigger: You or your Pokémon’s attack faints a Wild Pokémon.
Effect: The Wild Pokémon is instead lowered to 1 Hit Point.",
Relentless Pursuit,"Capture Specialist, 3 of Acrobatics, Athletics, Stealth, Survival, Guile, or Perception Skills at Expert Rank","2 AP – Free Action, Interrupt","Trigger: A foe attempts to run away
Effect: Before the target moves from its starting location, one of your Pokémon on the field may immediately Shift and use a Struggle Attack as an Interrupt. If this attack hits, the target is Tripped.",
Changing Viewpoints,"Mentor, Intuition as a Mentor Skill",Daily x3 – Extended Action,"Target: A Pokémon with at least 1 Tutor Point.
Effect: The target loses a Tutor Point, and you may change the target’s Nature to any other Nature which either raises the same Stat as its current nature, or lowers the same Stat as its current Nature.",
Empowered Development,"Mentor, Charm as a Mentor Skill",Daily x3 – Extended Action,"Target: A Pokémon with at least 1 Tutor Point
Effect: The target loses 1 Tutor Point, and gains any three of the following Poké Edges: Skill Improvement, Advanced Mobility, or Capability Training. A Pokémon may be targeted only once by Empowered Development. The target may gain Poké Edges this way even if they do not meet the prerequisites, however, they must still follow other limitations; Advanced Mobility can only improve a Movement Capability once, for example.",
Corrective Learning,"Mentor, Intimidate as a Mentor Skill",Daily x3 – Extended Action,"Target: A Pokémon that has spent Tutor Points on a Poké Edge or a Feature’s effect
Effect: The target loses one effect gained from a Poké Edge or Feature and refunds all Tutor Points spent on it.",
Versatile Teachings,"Mentor, Pokémon Education as a Mentor Skill",Daily x3 – Extended Action,"Target: A Pokémon with at least 1 Tutor Point
Effect: The target loses 1 Tutor Point and may exchange one of its Basic Abilities for any other of its species’ Basic Abilities or one of its Advanced Abilities for any of its species’ Basic or Advanced Abilities.

Note: You may NOT activate Versatile Teachings to reroll Abilities that require a roll to determine characteristics, such as Serpent’s Mark and Color Theory.",
Mind Games,Bag of Tricks,Scene x2 – Free Action,"Trigger: Your Pokémon hits a foe with a Move with the Social keyword
Effect: The foe becomes Vulnerable for one full round. If the foe is afflicted with Rage, Suppression, Infatuation, or Confusion you may change one of the listed Volatile Status to another listed Volatile Status. Mind Games may only be activated once per Scene per foe. When inflicting Infatuation this way, the object of Infatuation is your Pokémon, regardless of gender.",
Escape Artist,Bag of Tricks,1 AP – Free Action,"Trigger: Your Pokémon targets an adjacent foe with a Status-Class Move
Effect: The triggering Move cannot provoke an Attack of Opportunity, and your Pokémon may immediately perform a Disengage Maneuver as a Free Action. Escape Artist may only be activated once per Scene per Pokémon.",
Shell Game,Bag of Tricks,Scene x2 – Special,"Target: Allied Hazards
Effect: Your Pokémon may activate Shell Game when placing Hazards as as Free Action or otherwise as a Standard Action. Choose one type of Hazard and move all allied instances of that Hazard up to X meters, where X is equal to half your Guile Rank; they do not have to remain contiguous. You may use Shell Game to place Hazards of different types on the same square or create layers of Toxic Spikes.",
Impromptu Trick,Bag of Tricks,1 AP – Free Action,"Trigger: A foe triggers an Attack of Opportunity from your Pokémon
Effect: Your Pokémon may use a Move with the Hazard Keyword or an At-Will or EOT Frequency Status-Class Move targeting that foe instead of a Struggle Attack.",
Plains Runner,Grassland Terrain,Static,Your Overland Speed is increased by +2. You gain a +2 bonus to Perception Checks to spot or identify objects in the far distance.,
Forest Ranger,Forest Terrain,Static,You’re used to navigating the dense plant life of large forests. You gain the Stealth Capability,
Marsh Stomper,Wetland Terrain,Static,You can handle the toxic fauna and flora of the marshes. You do not lose Hit Points from Poison and lose only 1 instead of 2 Combat Stages from Poison. You still count as Poisoned for the purpose of Moves and effects.,
Deep Diver,Ocean Terrain,Static,"You love nothing better than the smell of the sea. Your Swimming Capability is equal to your Overland Capability instead of half. Additionally, you may hold your breath underwater for a number of minutes equal to your Survival Rank before you start suffocating.",
Arctic Pilgrim,Tundra Terrain,Static,"Neither deep slow nor slippery ice can deter you. You are immune to the effects of Hail and to the Frozen condition, and gain 5 Damage Reduction against Ice-Type attacks.",
Surefooted,Mountain Terrain,Static,"You’re not afraid of precarious ledges and steep hills. You gain a +2 Bonus to Skill Checks made to climb, balance, or maintain footing – including resisting Push and Trip maneuvers. Whenever you take falling damage, ignore one meter and receive one less Injury when determining damage.",
Cave Dweller,Cave Terrain,Static,"Your eyes are used to very low levels of light. You do not suffer Blindness for being in Low-Light conditions. If you would be Totally Blinded by complete darkness, you instead suffer the penalties of Blindness, and may make Survival Checks instead of Acrobatics to avoid becoming Tripped. You are immune to Stealth Rock Hazards.",
Traceur,Urban Terrain,Static,"The city is your jungle. You gain a +1 Bonus to your Jump Capabilities. Add half your Survival Rank to your Evasion against Push, Trip, and Attack of Opportunity Maneuvers.",
Dune Walker,Desert Terrain,Static,"Your long hours in the unforgiving desert have made you inured to sand and heat. You’re immune to the effects of Sandstorm, Sand-Attack, and Sand Tomb, and you gain 5 Damage Reduction against Fire-Type attacks.",
Wrestlemania,Guts Ability,1 AP - Swift Action,"Trigger: You begin your turn with Dominance in a Grapple
Effect: This turn, you may perform two different Grappling Effects as a Full Action instead of just one.",
Heightened Intensity,Inner Focus Ability,2 AP - Shift Action,You may use Focus Energy as a Free Action.,
Pummeling Momentum,Iron Fist Ability,1 AP - Free Action,"Trigger: You hit a foe with a Move affected by Iron Fist
Effect: You Tag the triggering foe and gain a +1 bonus to your Accuracy Rolls and Evasion against that foe. Each subsequent time that you hit the Tagged foe with a Move affected by Iron Fist, this bonus increases by +1, to a maximum of your Combat Rank. If you ever spend a turn without successfully hitting your Tagged foe, the foe loses their Tag and the bonus is lost.",
Bend Like the Willow,Limber Ability,"2 AP - Free Action, Interrupt","Trigger: An adjacent foe initiates a Disarm, Grapple, Push, or Trip Maneuver against you, and either misses or fails the Opposed Check.
Effect: You may attempt the same Combat Maneuver against the triggering foe as a Free Action.",
Soft Landing,Reckless Ability,1 AP - Free Action,"Trigger: You take fall damage, or miss with Jump Kick or High Jump Kick
Effect: When taking fall damage, calculate the result as if you had fallen X meters less, where X is half your Combat Rank. If you miss with Jump Kick or High Jump Kick, you lose no Hit Points as a result.",
Whirlwind Strikes,Technician Ability,1 AP - Full Action,"You may use Rock Smash, targeting against any number of adjacent foes. You do not count as Flanked for one full round.",
Energy Finesse,Metamagic / Rank 1,--,"Condition: The triggering Move is an Arcane Weapon Move and has an Effect Range
Effect: In addition to its existing Effect Range, the Effect triggers on all natural Even-Numbered Rolls.",
Warp Energy,Metamagic / Rank 1,--,"Condition: The triggering Move is a Cone, Line, Burst, or Blast
Effect: Instead of its usual range, you may use the Move as if it had a range of Burst 1, Cone 2, Close Blast 2, Line 4, or 2-Target with a range of 4.
",
Directed Barrier,Metamagic / Rank 1,--,You gain Damage Reduction equal to your Tick Value against the targets of the triggering Move for one full round.,
Power Overdrive,Metamagic / Rank 1,--,"If the triggering attack hits, you lose a Tick of Hit Points, and the triggering attack deals bonus damage equal to your Tick Value plus your Occult Education Rank. This loss of Hit Points cannot be prevented in any way.",
Berserk Blow,Authentic Thaumaturgy / Rank 2,--,"Condition: The Triggering Move is 1-Target
Effect: The Move causes the target to become Vulnerable for 1 full round, and the Move’s Critical Hit Range is increased by +3.",
Energy Link,Authentic Thaumaturgy / Rank 2,--,"For one full round, the next Normal-Type attack to hit the target instead deals Damage of the same Type as this Attack. If the Attack Energy Link was  applied to was already Normal-Typed, for one full round, the next Normal-Type attack to hit the target instead deals damage as if it was one step more Super-Effective.
",
Enlarged Power,Authentic Thaumaturgy / Rank 2,--,"The Move gains the keyword Burst 1 if Melee 1-Target, or Blast 2 if ranged 1-Target. If the Move is already a Burst, Blast, Cone, or Line, increase the size of the Move’s Range by 1.",
Lock of Fate,Authentic Thaumaturgy / Rank 2,--,"The Move cannot be Intercepted, and targets may not avoid the attack in any way if hits (such as via Dodge, Parry, Shield Moves, etc). Evasion still applies, and the Move can still Miss.",
Call to Arms,Master of Arms,At-Will – Extended Action,"Target: A Metal Weapon
Effect: You create a Steelheart Bond with the target Weapon. You may only have one Steelheart Bond at a time; if you create a new Bond, all old Bonds are lost. As a Shift Action, you may beckon your Steelheart Bonded Weapon to your hands if it is within 10 meters. If it is being held by someone else who does not want to let go of the weapon, make an Athletics or Focus vs Athletics Opposed Check. If you win, they their lose grip on your Weapon and it flies to your hand as normal.",
Unlimited Steel Works,Master of Arms,At-Will – Extended Action,"Target: Your Steelheart Bond Weapon
Effect: You may replace the Move(s) granted by the target Weapon with any other standard Weapon Moves, within Limitations. Weapons may still only grant one Adept and one Master Move at a maximum.",
Call to Adventure,Hero's Journey [5-15 Playtest],Static,"You gain the Instinctive Aptitude Edge, even if you do not meet its prerequisites. If you already have this Edge, gain another Edge for which you qualify. During Combat or tense situations (never Extended Actions), if you spend AP to add a bonus to a Skill Check, you may add +1d6 instead of +2.",
Hat Trick,Hero's Journey [5-15 Playtest],Static,"While wearing Head Equipment worth at least $1000, you gain 15 Damage Reduction against Critical Hits. This does not stack with any Damage Reduction granted by any Head Equipment.",
Frisk,Hero's Journey [5-15 Playtest],Static,You gain the Frisk Ability.,
Handyman,Hero's Journey [5-15 Playtest],Static,"Whenever you use an item or a non-Weapon piece of equipment which calls for a Skill Check or has an effect or prerequisite based on a Skill Rank, you may substitute Survival for the used Skill. This does not affect prerequisites for Books.",
Movement Mastery,Hero's Journey [5-15 Playtest],Static,"Choose one of Art of Stealth, Athletic Initiative, Mounted Prowess, Nimble Movement, Slippery, Stamina, Swimmer, or Wallrunner. You gain the chosen Edge, even if you do not meet the prerequisites. Additionally, you may take any of these Edges in the future as if you did meet the prerequisites.",
